Subject,Control,Complexity,Num_A,Num_sim,Regret_cum
1,none,low,1,1,990.241082647335
1,waypoint,low,1,1,940.283723472203
1,directergodic,low,1,1,1190.62767343274
1,sharedergodic,low,1,1,1095.3563750181
1,autoergodic,low,1,1,1392.63897225454
1,none,high,1,1,1044.58728246576
1,waypoint,high,1,1,992.956776535435
1,directergodic,high,1,1,1087.71867298283
1,sharedergodic,high,1,1,1191.4686008675
1,autoergodic,high,1,1,1093.31660352213
1,none,low,1,2,743.616488944455
1,waypoint,low,1,2,846.627712845708
1,directergodic,low,1,2,943.598056941667
1,sharedergodic,low,1,2,750.22942762188
1,autoergodic,low,1,2,702.899505630675
1,none,high,1,2,1100.38708723589
1,waypoint,high,1,2,753.926259697623
1,directergodic,high,1,2,749.363012782484
1,sharedergodic,high,1,2,694.191194793298
1,autoergodic,high,1,2,850.259963696884
1,none,low,1,3,503.27899105334
1,waypoint,low,1,3,557.083579360515
1,directergodic,low,1,3,548.17899558644
1,sharedergodic,low,1,3,553.771726920951
1,autoergodic,low,1,3,456.890429147078
1,none,high,1,3,598.367724124105
1,waypoint,high,1,3,604.727639895514
1,directergodic,high,1,3,653.853991337619
1,sharedergodic,high,1,3,801.041587066501
1,autoergodic,high,1,3,604.342564671046
1,none,low,1,4,751.31555775896
1,waypoint,low,1,4,463.096938804398
1,directergodic,low,1,4,302.735817001833
1,sharedergodic,low,1,4,350.706924057025
1,autoergodic,low,1,4,455.011716381428
1,none,high,1,4,452.218755056819
1,waypoint,high,1,4,410.900696984725
1,directergodic,high,1,4,650.781803009685
1,sharedergodic,high,1,4,604.305374135397
1,autoergodic,high,1,4,301.161161722984
1,none,low,1,6,108.093976570795
1,waypoint,low,1,6,113.718552756635
1,directergodic,low,1,6,249.941439372332
1,sharedergodic,low,1,6,150.706233708921
1,autoergodic,low,1,6,354.224646704433
1,none,high,1,6,152.235190887267
1,waypoint,high,1,6,356.15568656444
1,directergodic,high,1,6,304.528451908603
1,sharedergodic,high,1,6,405.408675585849
1,autoergodic,high,1,6,452.447023521022
1,none,low,1,7,156.796394136169
1,waypoint,low,1,7,304.570922567576
1,directergodic,low,1,7,205.51603268343
1,sharedergodic,low,1,7,201.233588021373
1,autoergodic,low,1,7,207.351927572476
1,none,high,1,7,152.5492904635
1,waypoint,high,1,7,359.246806386883
1,directergodic,high,1,7,58.6212567480817
1,sharedergodic,high,1,7,312.332194402004
1,autoergodic,high,1,7,204.831063316949
1,none,low,1,9,109.688529117669
1,waypoint,low,1,9,165.191827548518
1,directergodic,low,1,9,106.695189626361
1,sharedergodic,low,1,9,101.160291198544
1,autoergodic,low,1,9,54.3950995476003
1,none,high,1,9,4.1709683021958
1,waypoint,high,1,9,206.643183994338
1,directergodic,high,1,9,54.8571721903649
1,sharedergodic,high,1,9,157.163235758985
1,autoergodic,high,1,9,202.149251768493
1,none,low,1,12,6.76328911946296
1,waypoint,low,1,12,12.5858072702348
1,directergodic,low,1,12,53.9325929313318
1,sharedergodic,low,1,12,3.28764399134244
