Subject,Control,Complexity,Num_A,Num_sim,Regret_cum
29,none,low,1,1,943.240620762219
29,waypoint,low,1,1,936.641384243286
29,directergodic,low,1,1,899.709555913362
29,sharedergodic,low,1,1,746.200724024973
29,autoergodic,low,1,1,949.373227529828
29,none,high,1,1,996.878307156922
29,waypoint,high,1,1,996.429491244582
29,directergodic,high,1,1,1087.72488576597
29,sharedergodic,high,1,1,1146.81410803251
29,autoergodic,high,1,1,1145.60852275536
29,none,low,1,2,747.004759879048
29,waypoint,low,1,2,897.472496247664
29,directergodic,low,1,2,748.286126833075
29,sharedergodic,low,1,2,800.395522819446
29,autoergodic,low,1,2,500.317739608058
29,none,high,1,2,655.030112410113
29,waypoint,high,1,2,744.544658700663
29,directergodic,high,1,2,841.038617466879
29,sharedergodic,high,1,2,601.009515267078
29,autoergodic,high,1,2,749.827375225222
29,none,low,1,3,651.263425499894
29,waypoint,low,1,3,553.964835942136
29,directergodic,low,1,3,651.231593515819
29,sharedergodic,low,1,3,398.002481979036
29,autoergodic,low,1,3,453.314790796137
29,none,high,1,3,651.680644965268
29,waypoint,high,1,3,454.437102913646
29,directergodic,high,1,3,547.130337829817
29,sharedergodic,high,1,3,551.894106346694
29,autoergodic,high,1,3,798.036670861643
29,none,low,1,4,298.767684556939
29,waypoint,low,1,4,550.978298730855
29,directergodic,low,1,4,601.138625341278
29,sharedergodic,low,1,4,303.060239097356
29,autoergodic,low,1,4,253.965497322549
29,none,high,1,4,504.566527197916
29,waypoint,high,1,4,348.796274755043
29,directergodic,high,1,4,556.727110689772
29,sharedergodic,high,1,4,651.456324950699
29,autoergodic,high,1,4,456.511619810964
29,none,low,1,6,452.181684746408
29,waypoint,low,1,6,154.785702478561
29,directergodic,low,1,6,255.642592323279
29,sharedergodic,low,1,6,153.655871107714
29,autoergodic,low,1,6,254.991112640616
29,none,high,1,6,453.036894433113
29,waypoint,high,1,6,102.042795530276
29,directergodic,high,1,6,257.099067009458
29,sharedergodic,high,1,6,351.97283977295
29,autoergodic,high,1,6,307.300731682219
29,none,low,1,7,301.824316205001
29,waypoint,low,1,7,298.737140999376
29,directergodic,low,1,7,208.158700759604
29,sharedergodic,low,1,7,251.668739006566
29,autoergodic,low,1,7,254.826215360675
29,none,high,1,7,111.09006141101
29,waypoint,high,1,7,252.071692460689
29,directergodic,high,1,7,60.8657226283243
29,sharedergodic,high,1,7,205.305198705018
29,autoergodic,high,1,7,60.1435515966839
29,none,low,1,9,2.1210625259758
29,waypoint,low,1,9,54.7147689247596
29,directergodic,low,1,9,10.5761971567107
29,sharedergodic,low,1,9,202.195299479634
29,autoergodic,low,1,9,102.061824623781
29,none,high,1,9,156.122149529924
29,waypoint,high,1,9,55.2180032747879
29,directergodic,high,1,9,108.938875746914
29,sharedergodic,high,1,9,53.7540908895437
29,autoergodic,high,1,9,8.59539273720644
29,none,low,1,12,52.0227408044363
29,waypoint,low,1,12,4.91485563880147
29,directergodic,low,1,12,58.215687065126
29,sharedergodic,low,1,12,102.746213815678
29,autoergodic,low,1,12,5.59132873388574
29,none,high,1,12,58.8034764310672
29,waypoint,high,1,12,6.11491539430505
29,directergodic,high,1,12,61.1553950890443
29,sharedergodic,high,1,12,5.3692703641717
29,autoergodic,high,1,12,107.329887351058
29,none,low,1,16,2.46381911519101
29,waypoint,low,1,16,4.74675343112216
29,directergodic,low,1,16,6.99502426527495
29,sharedergodic,low,1,16,52.2591032182636
29,autoergodic,low,1,16,5.9762122788501
29,none,high,1,16,8.54089652240959
29,waypoint,high,1,16,5.32410655580438
29,directergodic,high,1,16,8.48134478346801
29,sharedergodic,high,1,16,105.899835121944
29,autoergodic,high,1,16,8.59539273720644
29,none,low,1,20,2.46381911519101
29,waypoint,low,1,20,4.74675343112216
29,directergodic,low,1,20,6.59502426527495
29,sharedergodic,low,1,20,3.20190834139704
29,autoergodic,low,1,20,53.157014142856
29,none,high,1,20,8.54574419246266
29,waypoint,high,1,20,5.61491539430505
29,directergodic,high,1,20,12.8829290298713
29,sharedergodic,high,1,20,3.25409088954367
29,autoergodic,high,1,20,8.59539273720644
29,none,low,1,26,2.46381911519101
29,waypoint,low,1,26,4.74675343112216
29,directergodic,low,1,26,7.3224052176559
29,sharedergodic,low,1,26,5.8590511985399
29,autoergodic,low,1,26,56.6771008194801
29,none,high,1,26,10.0314584781769
29,waypoint,high,1,26,5.32410655580438
29,directergodic,high,1,26,12.8186433155856
29,sharedergodic,high,1,26,6.03980517525795
29,autoergodic,high,1,26,8.59539273720644
29,none,low,1,33,2.46381911519101
29,waypoint,low,1,33,4.74675343112216
29,directergodic,low,1,33,6.96202279176404
29,sharedergodic,low,1,33,3.87690834139704
29,autoergodic,low,1,33,4.9762122788501
29,none,high,1,33,8.72106886778733
29,waypoint,high,1,33,5.41491539430505
29,directergodic,high,1,33,10.4126909346332
29,sharedergodic,high,1,33,4.45106058651336
29,autoergodic,high,1,33,8.59539273720644
29,none,low,1,43,2.46381911519101
29,waypoint,low,1,43,4.82271775747209
29,directergodic,low,1,43,6.23593335618404
29,sharedergodic,low,1,43,3.15342349291219
29,autoergodic,low,1,43,6.38238878136579
29,none,high,1,43,9.35117405671605
29,waypoint,high,1,43,5.54348682287648
29,directergodic,high,1,43,10.2941844411267
29,sharedergodic,high,1,43,4.49954543499821
29,autoergodic,high,1,43,8.59539273720644
29,none,low,1,55,2.46381911519101
29,waypoint,low,1,55,4.74675343112216
29,directergodic,low,1,55,6.97599607338438
29,sharedergodic,low,1,55,2.91057613792433
29,autoergodic,low,1,55,6.16700416598117
29,none,high,1,55,9.27211781883629
29,waypoint,high,1,55,5.86491539430505
29,directergodic,high,1,55,11.1734052203475
29,sharedergodic,high,1,55,3.76108389653667
29,autoergodic,high,1,55,7.89539273720644
29,none,low,1,70,2.46381911519101
29,waypoint,low,1,70,4.74675343112216
29,directergodic,low,1,70,5.4374795082417
29,sharedergodic,low,1,70,5.10190834139704
29,autoergodic,low,1,70,5.72975720241842
29,none,high,1,70,8.95481281991364
29,waypoint,high,1,70,5.38764266703232
29,directergodic,high,1,70,12.3926842363017
29,sharedergodic,high,1,70,5.25409088954367
29,autoergodic,high,1,70,8.22039273720644
29,none,low,1,90,2.46381911519101
29,waypoint,low,1,90,4.74675343112216
29,directergodic,low,1,90,6.75509752534821
29,sharedergodic,low,1,90,4.57333691282561
29,autoergodic,low,1,90,5.53238878136579
29,none,high,1,90,7.88534318995639
29,waypoint,high,1,90,5.41491539430505
29,directergodic,high,1,90,12.3454911416725
29,sharedergodic,high,1,90,4.88003073916773
29,autoergodic,high,1,90,8.17539273720644
29,none,low,1,116,2.46381911519101
29,waypoint,low,1,116,4.74675343112216
29,directergodic,low,1,116,5.59026236051304
29,sharedergodic,low,1,116,4.31156743230613
29,autoergodic,low,1,116,5.63953163850864
29,none,high,1,116,8.65315990048688
29,waypoint,high,1,116,5.48991539430505
29,directergodic,high,1,116,9.9958154124945
29,sharedergodic,high,1,116,4.65286730778616
29,autoergodic,high,1,116,8.00448364629735
29,none,low,1,148,2.46381911519101
29,waypoint,low,1,148,4.74675343112216
29,directergodic,low,1,148,5.51830050594249
29,sharedergodic,low,1,148,4.08827197776068
29,autoergodic,low,1,148,5.78238878136579
29,none,high,1,148,9.30954866774114
29,waypoint,high,1,148,5.54348682287648
29,directergodic,high,1,148,11.5650718870141
29,sharedergodic,high,1,148,5.13520977066255
29,autoergodic,high,1,148,8.22039273720644
29,none,low,1,191,2.46381911519101
29,waypoint,low,1,191,4.74675343112216
29,directergodic,low,1,191,6.16540336144115
29,sharedergodic,low,1,191,3.96190834139704
29,autoergodic,low,1,191,5.53238878136579
29,none,high,1,191,9.60826306218578
29,waypoint,high,1,191,5.32410655580438
29,directergodic,high,1,191,10.1948230182358
29,sharedergodic,high,1,191,4.97763477797681
29,autoergodic,high,1,191,8.03824988006358
29,none,low,1,245,2.46381911519101
29,waypoint,low,1,245,4.74675343112216
29,directergodic,low,1,245,6.25835581066237
29,sharedergodic,low,1,245,3.83772923691942
29,autoergodic,low,1,245,5.44340573051833
29,none,high,1,245,8.81626836433898
29,waypoint,high,1,245,5.32410655580438
29,directergodic,high,1,245,10.4247026143541
29,sharedergodic,high,1,245,5.12696760187243
29,autoergodic,high,1,245,8.14539273720644
29,none,low,1,314,2.46381911519101
29,waypoint,low,1,314,4.74675343112216
29,directergodic,low,1,314,5.85004193747616
29,sharedergodic,low,1,314,4.28747744708809
29,autoergodic,low,1,314,5.77062407548343
29,none,high,1,314,9.25371428773674
29,waypoint,high,1,314,5.38414616353582
29,directergodic,high,1,314,11.2297129024617
29,sharedergodic,high,1,314,4.95562361531003
29,autoergodic,high,1,314,8.00843621546731
29,none,low,1,403,2.46381911519101
29,waypoint,low,1,403,4.74675343112216
29,directergodic,low,1,403,5.93482950694295
29,sharedergodic,low,1,403,3.91898908673864
29,autoergodic,low,1,403,5.81687153998647
29,none,high,1,403,8.48398466167087
29,waypoint,high,1,403,5.39793426222957
29,directergodic,high,1,403,10.6693833158122
29,sharedergodic,high,1,403,4.60161897943131
29,autoergodic,high,1,403,7.9525355943493
29,none,low,1,518,2.46381911519101
29,waypoint,low,1,518,4.74675343112215
29,directergodic,low,1,518,6.3281781638852
29,sharedergodic,low,1,518,3.65575449524319
29,autoergodic,low,1,518,5.69543225962664
29,none,high,1,518,8.4118687927824
29,waypoint,high,1,518,5.49891539430504
29,directergodic,high,1,518,11.005375660834
29,sharedergodic,high,1,518,4.49992033035509
29,autoergodic,high,1,518,7.93260203953202
29,none,low,1,665,2.463819115191
29,waypoint,low,1,665,4.74675343112216
29,directergodic,low,1,665,6.14513850436825
29,sharedergodic,low,1,665,4.22345056905922
29,autoergodic,low,1,665,5.78848634234138
29,none,high,1,665,9.06833506745413
29,waypoint,high,1,665,5.42886888267713
29,directergodic,high,1,665,10.6984756101646
29,sharedergodic,high,1,665,5.05974045996804
29,autoergodic,high,1,665,8.15661722700236
29,none,low,1,854,2.46381911519101
29,waypoint,low,1,854,4.74675343112217
29,directergodic,low,1,854,6.42636854994752
29,sharedergodic,low,1,854,3.95567865283915
29,autoergodic,low,1,854,5.94975279810218
29,none,high,1,854,8.84940232766346
29,waypoint,high,1,854,5.4363439657336
29,directergodic,high,1,854,10.2951666742887
29,sharedergodic,high,1,854,4.76917059656651
29,autoergodic,high,1,854,8.22872607053978
29,none,low,1,1097,2.46381911519102
29,waypoint,low,1,1097,4.74675343112218
29,directergodic,low,1,1097,6.27818707008434
29,sharedergodic,low,1,1097,3.98604203329101
29,autoergodic,low,1,1097,5.80900475094752
29,none,high,1,1097,8.79157302437316
29,waypoint,high,1,1097,5.47581764994413
29,directergodic,high,1,1097,10.5228066986034
29,sharedergodic,high,1,1097,4.84730797358116
29,autoergodic,high,1,1097,8.14858422656815
29,none,low,2,1,985.333913375755
29,waypoint,low,2,1,837.022240424779
29,directergodic,low,2,1,993.540380210485
29,sharedergodic,low,2,1,986.797509243601
29,autoergodic,low,2,1,749.34647410382
29,none,high,2,1,842.026536269568
29,waypoint,high,2,1,938.484974319059
29,directergodic,high,2,1,1086.68058469749
29,sharedergodic,high,2,1,987.902038723331
29,autoergodic,high,2,1,1099.50732254841
29,none,low,2,2,746.456283682745
29,waypoint,low,2,2,647.559376199108
29,directergodic,low,2,2,799.969073975013
29,sharedergodic,low,2,2,798.185097141845
29,autoergodic,low,2,2,651.503046934489
29,none,high,2,2,699.497021538219
29,waypoint,high,2,2,801.309874997304
29,directergodic,high,2,2,941.137680750932
29,sharedergodic,high,2,2,652.078154786062
29,autoergodic,high,2,2,853.872339467886
29,none,low,2,3,649.035944785197
29,waypoint,low,2,3,598.354390207169
29,directergodic,low,2,3,455.676037009268
29,sharedergodic,low,2,3,504.724655731103
29,autoergodic,low,2,3,355.008874890009
29,none,high,2,3,422.330118497704
29,waypoint,high,2,3,655.485681877343
29,directergodic,high,2,3,945.930018651299
